accept	accettare
allow	permettere
ask	chiedere/domandare
believe	credere
break	rompere
bring	portare
buy	comprare
cancel	cancellare
change	cambiare
clean	pulire
comb	pettinare
complain	lamentarsi
cough	tossire
count	contare
cut	tagliare
dance	ballare
draw	disegnare
drink	bere
drive	guidare
eat	mangiare
explain	spiegare
fall	cadere
fill	rempire
find	trovare
finish	finire
fix	aggiustare
fly	volare
forget	dimenticare
give	dare
go	andare
have	avere
hear	sentire
know	sapere/conoscere
learn	imparare
leave	partire/andarsene
listen	ascoltare
live	vivere
look	guardare
lose	perdere
make/do	fare
open	aprire
close/shut	chiudere
organize	organizzare
pay	pagare
play	giocare
put	mettere
rain	piovere
read	leggere
reply	rispondere
run	correre
say	dire
see	vedere
sell	vendere
send	spedire
sign	firmare
sing	cantare
sit	sedersi
sleep	dormire
smoke	fumare
speak	parlare
spend	spendere
stand	alzarsi
start/begin	cominciare
study	studiare
swim	nuotare
take	prendere
talk	parlare
teach	insegnare
tell	dire
think	pensare
translate	tradurre
travel	viaggiare
try	provare
understand	capire
use	usare
wait	aspettare
wake	svegliarsi
want	volere/desiderare
watch	guardare
work	lavorare
worry	preoccuparsi
write	scrivere
